,subject_num,posture,cursor_type,repetition,target_num,wide,target_size,extra_times_over_target,error
1460,1,STAND,EYE,8,2,SMALL,2.5,3,
1461,1,STAND,EYE,8,2,SMALL,3.0,1,
1462,1,STAND,EYE,8,2,SMALL,3.5,1,
1463,1,STAND,EYE,8,2,SMALL,4.0,1,
1464,1,STAND,EYE,8,3,SMALL,0.5,3,
1465,1,STAND,EYE,8,3,SMALL,1.0,8,
1466,1,STAND,EYE,8,3,SMALL,1.5,3,
1467,1,STAND,EYE,8,3,SMALL,2.0,2,
1468,1,STAND,EYE,8,3,SMALL,2.5,2,
1469,1,STAND,EYE,8,3,SMALL,3.0,3,
1470,1,STAND,EYE,8,3,SMALL,3.5,1,
1471,1,STAND,EYE,8,3,SMALL,4.0,1,
1472,1,STAND,EYE,8,4,SMALL,0.5,0,
1473,1,STAND,EYE,8,4,SMALL,1.0,4,
1474,1,STAND,EYE,8,4,SMALL,1.5,3,
1475,1,STAND,EYE,8,4,SMALL,2.0,1,
1476,1,STAND,EYE,8,4,SMALL,2.5,1,
1477,1,STAND,EYE,8,4,SMALL,3.0,1,
1478,1,STAND,EYE,8,4,SMALL,3.5,1,
1479,1,STAND,EYE,8,4,SMALL,4.0,1,
1480,1,STAND,EYE,8,5,SMALL,0.5,4,
1481,1,STAND,EYE,8,5,SMALL,1.0,4,
1482,1,STAND,EYE,8,5,SMALL,1.5,3,
1483,1,STAND,EYE,8,5,SMALL,2.0,1,
1484,1,STAND,EYE,8,5,SMALL,2.5,1,
1485,1,STAND,EYE,8,5,SMALL,3.0,3,
1486,1,STAND,EYE,8,5,SMALL,3.5,1,
1487,1,STAND,EYE,8,5,SMALL,4.0,1,
1488,1,STAND,EYE,8,6,SMALL,0.5,7,
1489,1,STAND,EYE,8,6,SMALL,1.0,3,
1490,1,STAND,EYE,8,6,SMALL,1.5,3,
1491,1,STAND,EYE,8,6,SMALL,2.0,3,
1492,1,STAND,EYE,8,6,SMALL,2.5,2,
1493,1,STAND,EYE,8,6,SMALL,3.0,1,
1494,1,STAND,EYE,8,6,SMALL,3.5,1,
1495,1,STAND,EYE,8,6,SMALL,4.0,1,
1496,1,STAND,EYE,8,7,SMALL,0.5,0,
1497,1,STAND,EYE,8,7,SMALL,1.0,6,
1498,1,STAND,EYE,8,7,SMALL,1.5,2,
1499,1,STAND,EYE,8,7,SMALL,2.0,1,
1500,1,STAND,EYE,8,7,SMALL,2.5,1,
1501,1,STAND,EYE,8,7,SMALL,3.0,2,
1502,1,STAND,EYE,8,7,SMALL,3.5,2,
1503,1,STAND,EYE,8,7,SMALL,4.0,2,
1504,1,STAND,EYE,8,8,SMALL,0.5,2,
1505,1,STAND,EYE,8,8,SMALL,1.0,3,
1506,1,STAND,EYE,8,8,SMALL,1.5,1,
1507,1,STAND,EYE,8,8,SMALL,2.0,2,
1508,1,STAND,EYE,8,8,SMALL,2.5,2,
1509,1,STAND,EYE,8,8,SMALL,3.0,3,
1510,1,STAND,EYE,8,8,SMALL,3.5,1,
1511,1,STAND,EYE,8,8,SMALL,4.0,1,
1512,1,WALK,EYE,8,0,SMALL,0.5,10,
1513,1,WALK,EYE,8,0,SMALL,1.0,20,
1514,1,WALK,EYE,8,0,SMALL,1.5,13,
1515,1,WALK,EYE,8,0,SMALL,2.0,9,
1516,1,WALK,EYE,8,0,SMALL,2.5,4,
1517,1,WALK,EYE,8,0,SMALL,3.0,3,
1518,1,WALK,EYE,8,0,SMALL,3.5,1,
1519,1,WALK,EYE,8,0,SMALL,4.0,1,
1520,1,WALK,EYE,8,1,SMALL,0.5,8,
1521,1,WALK,EYE,8,1,SMALL,1.0,13,
1522,1,WALK,EYE,8,1,SMALL,1.5,21,
1523,1,WALK,EYE,8,1,SMALL,2.0,10,
1524,1,WALK,EYE,8,1,SMALL,2.5,9,
1525,1,WALK,EYE,8,1,SMALL,3.0,9,
1526,1,WALK,EYE,8,1,SMALL,3.5,3,
1527,1,WALK,EYE,8,1,SMALL,4.0,3,
1528,1,WALK,EYE,8,2,SMALL,0.5,10,
1529,1,WALK,EYE,8,2,SMALL,1.0,10,
1530,1,WALK,EYE,8,2,SMALL,1.5,12,
1531,1,WALK,EYE,8,2,SMALL,2.0,12,
