,target_size,subject_num,posture,cursor_type,repetition,target_num,wide,mean_offset,std_offset,overall_mean_offset,overall_std_offset,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,mean_offset_horizontal,mean_offset_vertical,std_offset_horizontal,std_offset_vertical,longest_dwell,error
2240,1.0,6,STAND,HAND,8,8,SMALL,0.514590968690909,0.14811692487920408,5.75517875240625,5.75517875240625,1.2140199999999766,1.0,0.9007720000000177,0.9007720000000177,-0.10968939586030042,0.26169069046019827,0.4063448471711611,0.2340027043928016,0.9007720000000177,
2241,1.0,6,WALK,HAND,8,0,SMALL,3.2527823593148155,2.4185795408801036,6.973242006186915,6.973242006186915,3.5493000000000166,3.0,0.3816670000001068,0.12722233333336894,-0.6104294106755433,-0.0785897871941044,4.145029610431017,0.4207405064411054,0.3162000000000944,
2242,1.0,6,WALK,HAND,8,1,SMALL,2.955430035305085,2.576266336987095,5.660253785810632,5.660253785810632,2.0653369999999995,4.0,0.48587300000008327,0.12146825000002082,-0.7955619847166533,0.3205443216422033,3.8921274791031135,0.6282110325277133,0.2506630000000314,
2243,1.0,6,WALK,HAND,8,2,SMALL,8.004048700512953,5.377264618096853,8.535051005179403,8.535051005179403,1.7974629999999934,3.0,0.08354900000006182,0.027849666666687273,2.159454782612895,0.1849383829749104,9.458067267146648,0.5932554872627558,0.03330000000005384,
2244,1.0,6,WALK,HAND,8,3,SMALL,5.404779546686021,2.7403595318850815,7.077375676306,7.077375676306,3.451599999999985,2.0,0.06565999999997985,0.03282999999998992,-1.4788626723514426,0.24530073650179596,5.870378697954993,0.6968965939879259,0.03305999999997766,
2245,1.0,6,WALK,HAND,8,4,SMALL,3.537094587154322,2.78541198242759,6.748250659696667,6.748250659696667,2.3008570000000645,3.0,0.28263400000003003,0.09421133333334335,2.032645122038149,1.2051225464962694,3.528247559275821,1.507075069124113,0.183400000000006,
2246,1.0,6,WALK,HAND,8,5,SMALL,8.16050521354673,5.364706010652911,8.314618886366338,8.314618886366338,1.4848439999999528,4.0,0.33395500000005995,0.08348875000001499,-4.121889239637549,-0.5116998586324123,8.731872744932742,0.762088487007695,0.2679480000000467,
2247,1.0,6,WALK,HAND,8,6,SMALL,5.661410925347826,3.040350387556202,6.4417098205466665,6.4417098205466665,1.9328309999999647,3.0,0.10054000000002361,0.0335133333333412,-0.37928847266561183,-0.8790750068660927,6.324418493506764,0.8283915589945758,0.034969000000046435,
2248,1.0,6,WALK,HAND,8,7,SMALL,2.5662092251242603,1.3862444847801476,5.4631235880598,5.4631235880598,2.199950000000058,4.0,0.4196870000000672,0.1049217500000168,0.1809061481682609,0.5845208791240615,2.8223111742821114,0.6870484662269176,0.1351000000000795,
2249,1.0,6,WALK,HAND,8,8,SMALL,7.207475317559055,5.099590245180184,8.184119877774087,8.184119877774087,2.900600000000054,3.0,0.14574900000002344,0.048583000000007814,-1.9798397685139477,-1.0589272593468584,8.692450901333359,0.8002519145589908,0.08114899999998215,
