,dwell_time,subject_num,posture,cursor_type,repetition,target_num,wide,initial_contact_time,target_in_count,target_in_total_time,target_in_mean_time,first_dwell_time,required_target_size,mean_final_speed,min_target_size,error
125,0.1,0,WALK,EYE,4,8,SMALL,0.7845000000000368,5.0,0.9066339999999968,0.18132679999999937,1.0156000000000063,3.2242794,21.389409782611683,0.9013549,
126,0.1,0,STAND,EYE,5,0,LARGE,0.8318629999999985,2.0,1.3853920000000244,0.6926960000000122,0.8318629999999985,1.135394,6.346106077414575,0.23154653600000003,
127,0.1,0,STAND,EYE,5,1,LARGE,0.5658260000000155,1.0,0.9995270000000005,0.9995270000000005,0.5986170000000186,1.5112903100000001,8.280624193083453,0.306467056,
128,0.1,0,STAND,EYE,5,2,LARGE,0.7320749999999805,1.0,0.9836880000000008,0.9836880000000008,0.7660719999999799,1.5567057100000001,6.232875445219347,0.48858925700000005,
129,0.1,0,STAND,EYE,5,3,LARGE,0.681869000000006,1.0,0.9843410000000006,0.9843410000000006,0.681869000000006,1.3789916,11.110079410646676,0.03956468,
130,0.1,0,STAND,EYE,5,4,LARGE,0.5318149999999946,1.0,1.0000149999999906,1.0000149999999906,0.5318149999999946,1.41789329,10.951145505869725,0.129721522,
131,0.1,0,STAND,EYE,5,5,LARGE,0.4517969999999991,1.0,0.9853789999999947,0.9853789999999947,0.7844079999999849,3.44951987,6.917451424672226,0.256408662,
132,0.1,0,STAND,EYE,5,6,LARGE,0.38197599999998033,2.0,1.0723170000000266,0.5361585000000133,0.38197599999998033,1.9803098399999999,11.838380405457354,0.24866037100000002,
133,0.1,0,STAND,EYE,5,7,LARGE,0.36680999999998676,2.0,1.2845461176470712,0.6422730588235356,0.36680999999998676,1.27824736,6.788347057806779,0.11364091200000001,
134,0.1,0,STAND,EYE,5,8,LARGE,0.8146509999999978,1.0,1.0007169999999803,1.0007169999999803,0.8146509999999978,1.02869558,11.771638116165144,0.224684358,
135,0.1,0,WALK,EYE,5,0,LARGE,0.8054329999999936,5.0,0.9743459999998549,0.194869199999971,0.8054329999999936,1.48503542,5.045603773714421,0.6696879,
136,0.1,0,WALK,EYE,5,1,LARGE,1.131399999999985,7.0,0.7512604545455792,0.10732292207793989,2.014635999999996,3.09148836,0.8890571683804761,0.7292733,
137,0.1,0,WALK,EYE,5,2,LARGE,0.9823369999999159,3.0,0.6177570000000969,0.2059190000000323,0.9823369999999159,1.32588923,30.914697078045474,1.0737432199999999,
138,0.1,0,WALK,EYE,5,3,LARGE,1.382323999999926,3.0,0.39834000000007563,0.1327800000000252,1.382323999999926,1.48266149,3.333668645257609,1.082817,
139,0.1,0,WALK,EYE,5,4,LARGE,0.6000999999999976,5.0,0.6658023703704554,0.1331604740740911,3.083229629629601,2.05366564,1.5240200663716843,0.8423265999999999,
140,0.1,0,WALK,EYE,5,5,LARGE,1.5170409999999492,9.0,1.2755839999999807,0.14173155555555342,1.5170409999999492,1.44631565,3.32898029137076,0.5647525999999999,
141,0.1,0,WALK,EYE,5,6,LARGE,1.2827149999999392,3.0,0.2642169999999169,0.08807233333330562,1.2827149999999392,2.25810766,7.530315960417607,1.1296922,
142,0.1,0,WALK,EYE,5,7,LARGE,0.8181333333333719,8.0,0.9960336666669668,0.12450420833337085,0.8181333333333719,1.6615393200000002,3.8345964061660127,0.6872803,
143,0.1,0,WALK,EYE,5,8,LARGE,0.6495969999999716,6.0,0.5875309999996716,0.0979218333332786,0.8994750000000522,2.80972219,10.223157209153007,1.115047,
144,0.1,0,STAND,EYE,6,0,SMALL,0.34970100000001025,1.0,0.9346119999999871,0.9346119999999871,0.34970100000001025,1.2031723300000001,16.004378353782965,0.37272852700000003,
145,0.1,0,STAND,EYE,6,1,SMALL,0.3499450000000195,1.0,0.9830479999999966,0.9830479999999966,0.634048000000007,1.61143374,5.740859021633071,0.24549257800000002,
146,0.1,0,STAND,EYE,6,2,SMALL,0.33543399999999224,1.0,0.9476310000000012,0.9476310000000012,0.33543399999999224,0.309643,18.23810971588812,0.142652526,
147,0.1,0,STAND,EYE,6,3,SMALL,0.3478110000000072,1.0,0.9503319999999746,0.9503319999999746,0.3478110000000072,0.339773357,19.925209227491614,0.330430716,
148,0.1,0,STAND,EYE,6,4,SMALL,0.664607999999987,1.0,0.9862370000000169,0.9862370000000169,0.664607999999987,1.1585964,6.700035045079485,0.100870557,
149,0.1,0,STAND,EYE,6,5,SMALL,0.566726999999986,1.0,0.9817350000000147,0.9817350000000147,0.566726999999986,1.46993613,1.213358739575616,0.11190583600000001,
150,0.1,0,STAND,EYE,6,6,SMALL,0.33313000000001125,1.0,0.9344020000000057,0.9344020000000057,0.33313000000001125,1.42271566,13.665962452135844,0.225553527,
151,0.1,0,STAND,EYE,6,7,SMALL,0.36598199999997405,1.0,0.9522710000000245,0.9522710000000245,0.36598199999997405,0.7860898,13.920432477525003,0.247081563,
152,0.1,0,STAND,EYE,6,8,SMALL,0.3150880000000029,1.0,0.9351120000000037,0.9351120000000037,0.3150880000000029,0.9557254310000001,20.753604323477706,0.574031234,
153,0.1,0,WALK,EYE,6,0,SMALL,0.5656129999999848,2.0,0.28119999999989886,0.14059999999994943,0.602168000000006,1.88180017,3.734253944724555,0.8895546,
154,0.1,0,WALK,EYE,6,1,SMALL,1.199096999999938,4.0,0.4484069999997473,0.11210174999993683,1.199096999999938,1.452661,2.5624157380069374,1.10623753,
155,0.1,0,WALK,EYE,6,2,SMALL,0.6485529999999926,5.0,0.7335130000000163,0.14670260000000326,0.7996530000000348,3.23446417,3.67553787670178,0.6688107999999999,
