imu_packets,1265
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1596007764.3370261,B990784,0.01178,0.07819,-0.98315,0.16467,0.0157
1596007764.34304,B990789,0.01160,0.07776,-0.98315,0.16492,0.0157
1596007764.347957,B990794,0.01141,0.07733,-0.98315,0.16510,0.0157
1596007764.353148,B990800,0.01129,0.07690,-0.98315,0.16534,0.0157
1596007764.358617,B990805,0.01117,0.07648,-0.98315,0.16553,0.0157
1596007764.364349,B990810,0.01105,0.07599,-0.98315,0.16577,0.0157
1596007764.3688698,B990816,0.01093,0.07556,-0.98315,0.16595,0.0157
1596007764.373887,B990821,0.01080,0.07520,-0.98315,0.16620,0.0157
1596007764.379227,B990826,0.01068,0.07483,-0.98315,0.16638,0.0157
1596007764.3846881,B990831,0.01056,0.07440,-0.98315,0.16656,0.0157
1596007764.389672,B990836,0.01050,0.07404,-0.98315,0.16681,0.0157
1596007764.394617,B990841,0.01038,0.07361,-0.98315,0.16699,0.0157
1596007764.399189,B990846,0.01025,0.07318,-0.98315,0.16711,0.0157
1596007764.404901,B990851,0.01007,0.07269,-0.98315,0.16730,0.0157
1596007764.40924,B990856,0.00995,0.07220,-0.98315,0.16748,0.0157
1596007764.416928,B990861,0.00983,0.07166,-0.98322,0.16760,0.0157
1596007764.419467,B990866,0.00977,0.07117,-0.98322,0.16772,0.0157
1596007764.424598,B990871,0.00964,0.07056,-0.98322,0.16785,0.0157
1596007764.430746,B990877,0.00946,0.06940,-0.98328,0.16803,0.0157
1596007764.434818,B990882,0.00940,0.06885,-0.98334,0.16809,0.0157
1596007764.440224,B990887,0.00934,0.06818,-0.98334,0.16815,0.0157
1596007764.4457002,B990892,0.00934,0.06757,-0.98340,0.16815,0.0157
1596007764.451309,B990897,0.00928,0.06696,-0.98346,0.16815,0.0157
1596007764.4559438,B990902,0.00934,0.06641,-0.98346,0.16815,0.0157
1596007764.460812,B990907,0.00934,0.06586,-0.98352,0.16815,0.0157
1596007764.465685,B990912,0.00940,0.06519,-0.98358,0.16809,0.0157
1596007764.4702022,B990917,0.00946,0.06464,-0.98358,0.16809,0.0157
1596007764.476695,B990923,0.00958,0.06403,-0.98364,0.16803,0.0157
1596007764.481927,B990928,0.00964,0.06335,-0.98370,0.16791,0.0157
1596007764.48671,B990933,0.00977,0.06262,-0.98376,0.16779,0.0157
1596007764.491436,B990938,0.00989,0.06183,-0.98383,0.16766,0.0157
1596007764.497212,B990944,0.00995,0.06110,-0.98395,0.16754,0.0157
1596007764.50243,B990949,0.01001,0.06024,-0.98401,0.16742,0.0157
1596007764.508377,B990955,0.01001,0.05939,-0.98407,0.16724,0.0157
1596007764.51386,B990960,0.01001,0.05865,-0.98413,0.16705,0.0157
